"","ID","Name","FDR","Control","IBD","UC","CD"
"1","V49","49",1.62637016622377e-22,0.214395728457143,-0.64679417622561,-0.44752044325,-0.818894218340909
"2","V24","24",2.33139729367523e-20,0.587146753964286,-0.282500394664634,-0.0697981687631579,-0.466197771579545
"3","V5","5",8.36209149412515e-20,-0.117369394107143,-0.586080782551829,-0.423308106125,-0.726657184920455
"4","V11","11",4.81488109723246e-19,0.467804239714286,-0.405151634523781,-0.135942682538158,-0.637650274875
"5","V68","68",1.57435229728506e-15,0.590427337667857,-0.015044470825,0.186139357759211,-0.188794140965909
"6","V37","37",1.99086477829333e-15,0.485427668369643,-0.429338320964634,-0.195807755810526,-0.631023809052273
"7","V8","8",3.21134194270001e-15,0.4497440825,0.281423550195122,0.311602940434211,0.255359531352273
"8","V31","31",5.71529928783335e-15,0.521482948160714,-0.331180035780488,-0.0700498338421053,-0.556701573818182
"9","V9","9",1.02268845126294e-14,0.686615010714286,0.161409562006098,0.333670279776316,0.0126389421136364
"10","V61","61",2.4422150342073e-14,-0.105926355446429,0.266067141026829,0.105793416289474,0.404485357845455
"11","V17","17",6.73096668719192e-13,0.0573755408035714,-0.446330508314024,-0.284876981282895,-0.585767645295455
"12","V4","4",7.83860879457765e-13,0.59678691125,-0.235568123948171,-0.0387812138421053,-0.405520455403409
"13","V13","13",1.99527525103506e-12,-0.264636245053571,0.372138208914634,0.146123836276316,0.567332439829546
"14","V51","51",2.97785292460379e-12,-0.858174489642857,-0.388477672703049,-0.681544732236842,-0.135374303105682
"15","V46","46",2.79222454519008e-11,0.353128436225,0.69331983375,0.521779530657895,0.841468277329545
"16","V41","41",6.67542646119499e-11,-0.641175209589286,-0.233616374589024,-0.420103649565789,-0.0725591825636364
"17","V53","53",3.66339522612203e-10,-0.292099943214286,-0.0556621922621951,-0.143558796907895,0.02024851175
"18","V45","45",7.45773258334656e-09,-0.00708574923928571,0.285356433590793,0.129888208317368,0.419624446326932
"19","V44","44",8.63428413908321e-09,-0.148462738142857,-0.353892824480671,-0.217128401802632,-0.472007553157159
"20","V69","69",1.28105234675722e-08,-0.539722855214286,-0.712746034408537,-0.670350662539474,-0.749360219204545
"21","V38","38",2.7535225625175e-07,0.394909094964286,0.630515274032317,0.499422583964474,0.743731688181818
"22","V43","43",5.92625384237139e-07,-0.623914483392857,-0.779976175334329,-0.735700538221447,-0.818214225568182
"23","V26","26",6.84012864786314e-07,0.366498017071429,-0.0188388066615854,0.0448141500723684,-0.07381181475
"24","V56","56",8.32980066007643e-07,0.0365308134142857,0.241257676675427,0.172897562839079,0.300295956806818
"25","V70","70",5.21964190066606e-06,0.481085490625,0.682862853560976,0.614548930736842,0.741861241454545
"26","V6","6",5.39025109826545e-06,0.55044605375,0.693066115792683,0.656131569736842,0.724964132840909
"27","V48","48",1.08691211392904e-05,-0.583014390107143,-0.695637880067073,-0.546447205539474,-0.824484371704545
"28","V57","57",1.08691211392904e-05,0.664051170982143,0.199097994902439,0.292994603052632,0.118005469681818
"29","V10","10",2.74606760443676e-05,0.694279221928571,0.280365360928049,0.353236461460526,0.21743122865
"30","V12","12",2.74606760443676e-05,0.0146630096633929,-0.0687995535457317,-0.0345236865144737,-0.0984014387090909
"31","V18","18",4.1219267045465e-05,0.405120361071429,0.49146491652439,0.465791871842105,0.513637091477273
"32","V40","40",7.47105528520588e-05,0.289385935535714,-0.215873938582927,-0.166415930231579,-0.258587673068182
"33","V33","33",8.93168848696483e-05,0.615034969375,0.788079542987805,0.77077101868421,0.803027813977273
"34","V7","7",0.000227274583857356,-0.00258344919821428,-0.27931498737378,-0.198255078385526,-0.349321272409091
"35","V20","20",0.000227274583857356,-0.217847823553571,-0.587450662152439,-0.510552788697368,-0.653862461954545
"36","V19","19",0.000349850996895071,0.273072434035714,0.43269935872561,0.395578714605263,0.464758096829545
"37","V30","30",0.00108806262326107,-0.797176588214286,-0.586316039012195,-0.67235656368421,-0.512008313159091
"38","V65","65",0.00144642897294995,0.720573593464286,0.330664298292683,0.374515973078947,0.292792397340909
"39","V66","66",0.00187295519308126,-0.821337773392857,-0.56282180072439,-0.688673094210526,-0.454132047259091
"40","V67","67",0.00187295519308126,0.615825103785714,0.217797134742073,0.328256026035526,0.122400819534091
"41","V47","47",0.00332898195302942,0.191011488151786,0.409673830776219,0.371818433013158,0.442367128844318
"42","V50","50",0.00472842909355477,-0.450519737678571,-0.526997489939024,-0.521922449078947,-0.531380479772727
"43","V15","15",0.0118730048226348,-0.0602659448571429,-0.326586888402439,-0.192951169197368,-0.441999554988636
"44","V23","23",0.0359004789154309,0.812458008214286,0.64351430452439,0.691623536881579,0.601965422034091
"45","V32","32",0.0359004789154309,-0.719424186785714,-0.649222668902439,-0.668556088289474,-0.632525624886364
"46","V25","25",0.0577366917243341,-0.254228413178571,-0.339735083103659,-0.343237368934211,-0.336710381704545
"47","V34","34",0.0699165597440127,-0.360281937089286,-0.0814590237073171,-0.128099109131579,-0.0411789499318182
"48","V14","14",0.122707957582605,-0.478885277107143,-0.333824094542683,-0.440973427447368,-0.241286034306818
"49","V62","62",0.181203913870075,0.665595912732143,0.561103296689024,0.588960510131579,0.537044794170455
"50","V42","42",0.254302932841704,0.0840766030080357,0.257326698963415,0.185601912513158,0.319270832715909
"51","V2","2",0.255598377577917,0.196649188792857,0.287594502097561,0.264296387723684,0.307715600875
"52","V35","35",0.284397671107761,0.464007576964286,0.51829262847561,0.498938782105263,0.535007313977273
"53","V58","58",0.284397671107761,0.515011740357143,0.477498243902439,0.513620467105263,0.446301778409091
"54","V1","1",1,-0.0189983409232143,-0.00217071154182927,-0.0313469677007895,0.0230269642318182
"55","V3","3",1,0.0280321124107143,-0.0133815473414634,-0.0108550052763158,-0.0155635609431818
"56","V16","16",1,6.6007546e-05,6.6007546e-05,6.6007546e-05,6.6007546e-05
"57","V21","21",1,0.239223003607143,0.0932933807682927,0.189519667986842,0.0101888599886364
"58","V22","22",1,0.376157549464286,0.419983272481707,0.408861434105263,0.429588496534091
"59","V27","27",1,-0.800806188928571,-0.790074653426829,-0.768465105289474,-0.808737445
"60","V28","28",1,0.699917462678571,0.735344694957317,0.770258485710526,0.705191875670455
"61","V29","29",1,-1.21810035e-05,-1.21810035e-05,-1.21810035e-05,-1.21810035e-05
"62","V36","36",1,0.574892285357143,0.585974467439024,0.581090136315789,0.590192753409091
"63","V39","39",1,-0.507960131392857,-0.42280730545122,-0.350535614723684,-0.485223765625
"64","V52","52",1,-9.0075986e-07,-9.0075986e-07,-9.0075986e-07,-9.0075986e-07
"65","V54","54",1,0.434712086857143,0.431242469386585,0.471789063413158,0.396224956363636
"66","V55","55",1,3.5694163e-06,3.5694163e-06,3.5694163e-06,3.5694163e-06
"67","V59","59",1,-1.2479131e-06,-1.2479131e-06,-1.2479131e-06,-1.2479131e-06
"68","V60","60",1,6.975781e-08,6.975781e-08,6.975781e-08,6.975781e-08
"69","V63","63",1,-0.002081337,-0.002081337,-0.002081337,-0.002081337
"70","V64","64",1,-4.427958e-05,-4.427958e-05,-4.427958e-05,-4.427958e-05
